winnings	age	drive	accuracy	regulation	putts	save	events
213707	37	278.0	67.2	59.1	1.792	60.2	25
998677	49	269.1	69.8	66.6	1.738	59.3	22
557454	25	303.4	64.4	67.5	1.797	48.4	30
1646267	27	279.8	69.6	69.4	1.791	52.2	21
264076	43	273.8	66.8	59.8	1.796	43.5	31
717876	44	291.3	64.5	64.1	1.765	52.3	24
2718765	33	284.6	67.7	63.3	1.738	54.0	29
543866	47	272.9	67.0	62.5	1.768	53.7	17
300317	30	282.1	72.0	68.9	1.788	48.1	19
565013	34	292.1	58.5	63.2	1.811	43.9	32
817117	33	285.6	68.5	63.2	1.749	53.3	25
509258	26	287.3	64.4	65.3	1.795	46.6	28
882872	45	291.1	56.5	64.2	1.763	48.9	28
166185	37	305.2	62.7	62.8	1.790	31.8	17
2761537	34	282.1	64.1	65.1	1.749	53.7	22
701240	42	291.6	57.6	65.2	1.781	52.4	33
796086	47	272.8	68.3	59.1	1.746	58.7	15
265424	32	289.1	61.6	61.5	1.806	40.7	22
583537	32	285.8	69.5	66.2	1.771	44.2	23
597034	45	281.9	73.5	68.9	1.775	47.8	30
345798	36	272.2	73.1	62.6	1.813	56.8	28
299385	35	275.5	69.9	66.3	1.803	45.0	32
723724	28	291.4	65.0	66.2	1.780	51.1	32
1234345	35	290.3	63.0	64.9	1.759	43.0	33
601438	44	285.1	57.6	63.0	1.745	51.7	23
675189	37	291.4	61.5	62.9	1.819	47.1	23
5784823	34	295.4	62.9	69.5	1.759	56.4	22
3885573	35	294.2	62.5	68.7	1.743	54.6	16
223597	29	293.1	59.0	64.4	1.797	35.3	26
230499	34	296.7	61.7	63.7	1.814	56.4	28
461184	28	283.4	69.3	64.5	1.758	50.8	32
1513537	33	294.9	65.0	70.3	1.798	46.5	26
933389	32	277.2	70.0	63.8	1.792	49.4	28
725369	36	288.1	65.2	65.7	1.767	48.3	31
257692	41	283.4	69.9	65.5	1.800	45.0	19
1737725	35	292.1	59.8	66.1	1.763	58.9	26
234164	29	297.8	59.2	63.2	1.796	49.3	28
247987	27	293.1	64.8	68.0	1.811	42.3	23
2500397	28	292.2	59.2	64.9	1.792	48.9	26
185108	46	280.3	65.4	63.6	1.791	45.7	25
1592344	28	295.6	63.2	65.5	1.768	51.3	33
531263	31	312.6	54.1	62.7	1.806	49.0	29
1239360	49	280.4	68.8	68.6	1.786	50.0	17
790720	39	294.1	64.9	65.4	1.772	49.7	27
190986	49	278.7	70.7	62.0	1.800	51.2	18
2365594	40	278.0	77.1	68.5	1.743	47.1	24
3239216	24	295.1	58.5	70.8	1.790	48.1	18
949919	35	287.5	63.1	67.0	1.793	47.2	27
2301693	35	280.1	63.7	64.6	1.746	49.4	26
1206440	40	281.3	68.2	62.7	1.767	48.3	29
374187	36	281.5	67.1	64.9	1.810	45.8	33
3303207	40	287.9	65.0	68.4	1.755	54.5	27
1166560	35	282.3	64.8	64.8	1.805	55.3	24
648480	31	301.2	59.3	66.8	1.795	48.9	33
243239	42	287.1	68.2	66.1	1.796	49.0	20
2461789	37	279.9	65.8	65.8	1.763	49.0	31
1191245	44	288.8	58.3	63.9	1.769	43.8	28
199569	43	283.5	64.8	65.1	1.797	48.5	24
440906	37	281.8	52.7	59.3	1.745	48.8	27
4450272	31	290.5	58.7	66.4	1.723	56.1	28
2949234	33	293.2	62.5	65.1	1.764	51.4	25
623262	30	301.0	56.4	64.2	1.751	49.4	18
1636876	31	289.2	70.1	67.4	1.769	46.6	35
5365472	28	301.9	56.1	66.9	1.724	53.5	19
1108190	28	278.8	72.0	65.8	1.764	53.3	26
1727577	34	293.8	58.0	65.1	1.787	47.8	26
1193355	38	287.2	63.6	63.4	1.776	49.2	32
847996	35	280.1	61.7	63.9	1.769	46.7	33
3063780	39	283.5	58.7	62.7	1.774	44.6	27
873140	44	272.6	74.7	63.7	1.776	52.5	25
395782	36	296.5	55.1	62.9	1.790	42.7	35
1343278	45	287.2	69.7	71.4	1.778	44.0	19
1475273	45	286.0	68.2	66.8	1.778	55.4	31
844636	45	290.5	62.4	64.3	1.807	43.6	28
151852	38	287.8	54.0	61.9	1.776	43.5	25
90699	36	286.2	61.7	62.1	1.795	43.8	22
1176435	28	292.5	65.1	68.4	1.761	41.9	27
10905167 41	300.8	60.4	73.0	1.757	50.9	29
1495982	40	291.3	63.3	68.1	1.775	46.9	29
2417685	28	285.6	71.9	67.9	1.751	45.3	30
